"","PUlocationID","type","weight"
"155",54,"Uber",67.8343788486608
"156",54,"Via",1.75588957629621
"157",55,"Lyft",14.0812623749332
"158",55,"Uber",85.6564956949662
"159",55,"Via",0.262241930100606
"160",56,"Lyft",19.6718634300428
"161",56,"Uber",80.1323910704259
"162",56,"Via",0.195745499531329
"163",57,"Lyft",31.6698821007503
"164",57,"Uber",67.9185423365488
"165",57,"Via",0.411575562700965
"166",58,"Lyft",16.9191283780383
"167",58,"Uber",82.9852548940667
"168",58,"Via",0.0956167278949222
"169",59,"Lyft",7.77702930279555
"170",59,"Uber",92.1252947120243
"171",59,"Via",0.0976759851801953
"172",60,"Lyft",11.3701589758473
"173",60,"Uber",88.4277621919104
"174",60,"Via",0.202078832242323
"175",61,"Lyft",25.7693306880102
"176",61,"Uber",73.4368737972356
"177",61,"Via",0.793795514754185
"178",62,"Lyft",22.359023387961
"179",62,"Uber",77.0653712679047
"180",62,"Via",0.575605344134331
"181",63,"Lyft",16.587100590199
"182",63,"Uber",83.1384010240127
"183",63,"Via",0.274498385788345
"184",64,"Lyft",16.9811158429045
"185",64,"Uber",82.9345722028649
"186",64,"Via",0.0843119542306534
"187",65,"Lyft",29.264139740296
"188",65,"Uber",68.3439214834018
"189",65,"Via",2.39193877630221
"190",66,"Lyft",23.6488952000774
"191",66,"Uber",73.0340672288118
"192",66,"Via",3.31703757111078
"193",67,"Lyft",16.3253604467039
"194",67,"Uber",83.3216101341778
"195",67,"Via",0.35302941911826
"196",68,"Lyft",20.2719753381239
"197",68,"Uber",71.703102272974
"198",68,"Via",8.02492238890216
"199",69,"Lyft",10.2984280611522
"200",69,"Uber",89.5359155059762
"201",69,"Via",0.165656432871659
"202",70,"Lyft",23.9358313546071
"203",70,"Uber",75.8565058038041
"204",70,"Via",0.207662841588828
"205",71,"Lyft",16.8641612087701
"206",71,"Uber",82.7306238511312
"207",71,"Via",0.405214940098661
"208",72,"Lyft",14.4454816073858
"209",72,"Uber",85.2038025179839
"210",72,"Via",0.35071587463022
"211",73,"Lyft",17.1148756255561
"212",73,"Uber",82.6907273170372
"213",73,"Via",0.194397057406641
"214",74,"Lyft",21.0052323362838
"215",74,"Uber",70.2803873984128
"216",74,"Via",8.71438026530338
"217",75,"Lyft",18.8058069417558
"218",75,"Uber",67.2246168810734
"219",75,"Via",13.9695761771708
"220",76,"Lyft",16.6883217895301
"221",76,"Uber",83.0551181631084
"222",76,"Via",0.256560047361488
"223",77,"Lyft",17.4146058987902
"224",77,"Uber",82.278367864069
"225",77,"Via",0.307026237140847
"226",78,"Lyft",12.3994924470511
"227",78,"Uber",87.447034762158
"228",78,"Via",0.15347279079098
"229",79,"Lyft",21.5655722156122
"230",79,"Uber",70.2489881466536
"231",79,"Via",8.18543963773417
"232",80,"Lyft",31.876004834943
"233",80,"Uber",65.8178916362527
"234",80,"Via",2.30610352880429
"235",81,"Lyft",12.893881845774
"236",81,"Uber",86.9780541562478
"237",81,"Via",0.128063997978193
"238",82,"Lyft",17.1511458209073
"239",82,"Uber",82.639800133842
"240",82,"Via",0.209054045250768
"241",83,"Lyft",17.9439606556976
"242",83,"Uber",81.790422511103
"243",83,"Via",0.265616833199353
