"","hour","wday","type","n"
"259",12,"Saturday","Lyft",307234
"260",12,"Saturday","Uber",1080137
"261",12,"Saturday","Via",63425
"262",12,"Sunday","Lyft",318590
"263",12,"Sunday","Uber",1035968
"264",12,"Sunday","Via",61812
"265",12,"Thursday","Lyft",213067
"266",12,"Thursday","Uber",821894
"267",12,"Thursday","Via",58362
"268",12,"Tuesday","Lyft",201664
"269",12,"Tuesday","Uber",775537
"270",12,"Tuesday","Via",56548
"271",12,"Wednesday","Lyft",208027
"272",12,"Wednesday","Uber",801164
"273",12,"Wednesday","Via",57599
"274",13,"Friday","Lyft",228040
"275",13,"Friday","Uber",931117
"276",13,"Friday","Via",64443
"277",13,"Monday","Lyft",214768
"278",13,"Monday","Uber",795795
"279",13,"Monday","Via",53379
"280",13,"Saturday","Lyft",313607
"281",13,"Saturday","Uber",1131804
"282",13,"Saturday","Via",66050
"283",13,"Sunday","Lyft",323644
"284",13,"Sunday","Uber",1072027
"285",13,"Sunday","Via",64373
"286",13,"Thursday","Lyft",218772
"287",13,"Thursday","Uber",854552
"288",13,"Thursday","Via",57964
"289",13,"Tuesday","Lyft",209887
"290",13,"Tuesday","Uber",813248
"291",13,"Tuesday","Via",56846
"292",13,"Wednesday","Lyft",220146
"293",13,"Wednesday","Uber",838286
"294",13,"Wednesday","Via",57748
"295",14,"Friday","Lyft",237462
"296",14,"Friday","Uber",1015074
"297",14,"Friday","Via",72470
"298",14,"Monday","Lyft",228888
"299",14,"Monday","Uber",862890
"300",14,"Monday","Via",59513
"301",14,"Saturday","Lyft",324995
"302",14,"Saturday","Uber",1165465
"303",14,"Saturday","Via",66099
"304",14,"Sunday","Lyft",325618
"305",14,"Sunday","Uber",1094385
"306",14,"Sunday","Via",64455
"307",14,"Thursday","Lyft",236780
"308",14,"Thursday","Uber",932060
"309",14,"Thursday","Via",66068
"310",14,"Tuesday","Lyft",221138
"311",14,"Tuesday","Uber",884191
"312",14,"Tuesday","Via",64094
"313",14,"Wednesday","Lyft",235324
"314",14,"Wednesday","Uber",914518
"315",14,"Wednesday","Via",64695
"316",15,"Friday","Lyft",244297
"317",15,"Friday","Uber",1080106
"318",15,"Friday","Via",84652
"319",15,"Monday","Lyft",235632
"320",15,"Monday","Uber",915905
"321",15,"Monday","Via",72019
"322",15,"Saturday","Lyft",332197
"323",15,"Saturday","Uber",1207574
"324",15,"Saturday","Via",69429
"325",15,"Sunday","Lyft",328162
"326",15,"Sunday","Uber",1098943
"327",15,"Sunday","Via",64641
"328",15,"Thursday","Lyft",240596
"329",15,"Thursday","Uber",992127
"330",15,"Thursday","Via",79588
"331",15,"Tuesday","Lyft",229835
"332",15,"Tuesday","Uber",960030
"333",15,"Tuesday","Via",79453
"334",15,"Wednesday","Lyft",241214
"335",15,"Wednesday","Uber",961089
"336",15,"Wednesday","Via",78217
"337",16,"Friday","Lyft",255993
"338",16,"Friday","Uber",1140887
"339",16,"Friday","Via",97966
"340",16,"Monday","Lyft",234143
"341",16,"Monday","Uber",957015
"342",16,"Monday","Via",87492
"343",16,"Saturday","Lyft",343718
"344",16,"Saturday","Uber",1257911
"345",16,"Saturday","Via",72973
"346",16,"Sunday","Lyft",330386
"347",16,"Sunday","Uber",1105794
"348",16,"Sunday","Via",67316
"349",16,"Thursday","Lyft",241346
"350",16,"Thursday","Uber",1054488
"351",16,"Thursday","Via",95148
"352",16,"Tuesday","Lyft",228887
"353",16,"Tuesday","Uber",1009098
"354",16,"Tuesday","Via",97387
"355",16,"Wednesday","Lyft",241063
"356",16,"Wednesday","Uber",1013745
"357",16,"Wednesday","Via",93633
"358",17,"Friday","Lyft",302140
"359",17,"Friday","Uber",1317099
"360",17,"Friday","Via",129428
"361",17,"Monday","Lyft",261960
"362",17,"Monday","Uber",1098710
"363",17,"Monday","Via",128311
"364",17,"Saturday","Lyft",391616
"365",17,"Saturday","Uber",1357247
"366",17,"Saturday","Via",81967
"367",17,"Sunday","Lyft",332641
"368",17,"Sunday","Uber",1144159
"369",17,"Sunday","Via",71488
"370",17,"Thursday","Lyft",269460
"371",17,"Thursday","Uber",1244669
"372",17,"Thursday","Via",137475
"373",17,"Tuesday","Lyft",256334
"374",17,"Tuesday","Uber",1180433
"375",17,"Tuesday","Via",141018
"376",17,"Wednesday","Lyft",263494
"377",17,"Wednesday","Uber",1198269
"378",17,"Wednesday","Via",136897
"379",18,"Friday","Lyft",355071
"380",18,"Friday","Uber",1463641
"381",18,"Friday","Via",133733
"382",18,"Monday","Lyft",286242
"383",18,"Monday","Uber",1184975
"384",18,"Monday","Via",136562
"385",18,"Saturday","Lyft",417078
"386",18,"Saturday","Uber",1456257
"387",18,"Saturday","Via",87304
"388",18,"Sunday","Lyft",357619
"389",18,"Sunday","Uber",1180796
"390",18,"Sunday","Via",71585
"391",18,"Thursday","Lyft",303481
"392",18,"Thursday","Uber",1379053
"393",18,"Thursday","Via",145045
"394",18,"Tuesday","Lyft",285106
"395",18,"Tuesday","Uber",1295250
"396",18,"Tuesday","Via",148848
"397",18,"Wednesday","Lyft",293313
"398",18,"Wednesday","Uber",1320752
"399",18,"Wednesday","Via",144931
"400",19,"Friday","Lyft",399581
"401",19,"Friday","Uber",1541627
"402",19,"Friday","Via",109123
"403",19,"Monday","Lyft",286178
"404",19,"Monday","Uber",1139248
"405",19,"Monday","Via",104272
"406",19,"Saturday","Lyft",438900
"407",19,"Saturday","Uber",1548444
"408",19,"Saturday","Via",85254
"409",19,"Sunday","Lyft",337596
"410",19,"Sunday","Uber",1137999
"411",19,"Sunday","Via",60701
"412",19,"Thursday","Lyft",327095
"413",19,"Thursday","Uber",1374864
"414",19,"Thursday","Via",115607
"415",19,"Tuesday","Lyft",294258
"416",19,"Tuesday","Uber",1243977
"417",19,"Tuesday","Via",115929
"418",19,"Wednesday","Lyft",306654
"419",19,"Wednesday","Uber",1300668
"420",19,"Wednesday","Via",114860
"421",20,"Friday","Lyft",390821
"422",20,"Friday","Uber",1474634
"423",20,"Friday","Via",82483
"424",20,"Monday","Lyft",278176
"425",20,"Monday","Uber",1064660
"426",20,"Monday","Via",73180
"427",20,"Saturday","Lyft",427843
"428",20,"Saturday","Uber",1536472
"429",20,"Saturday","Via",72251
"430",20,"Sunday","Lyft",317309
"431",20,"Sunday","Uber",1071869
"432",20,"Sunday","Via",51906
"433",20,"Thursday","Lyft",326123
"434",20,"Thursday","Uber",1314315
