"","day","d.med"
"301","2018-10-28",16.95
"302","2018-10-29",17.4
"303","2018-10-30",17.95
"304","2018-10-31",17.5166666666667
"305","2018-11-01",18.3666666666667
"306","2018-11-02",18.2833333333333
"307","2018-11-03",17.4166666666667
"308","2018-11-04",16.2166666666667
"309","2018-11-05",17.9833333333333
"310","2018-11-06",16.9
"311","2018-11-07",18.45
"312","2018-11-08",19.1666666666667
"313","2018-11-09",18.4666666666667
"314","2018-11-10",17.7333333333333
"315","2018-11-11",16.8833333333333
"316","2018-11-12",16.2666666666667
"317","2018-11-13",17.7166666666667
"318","2018-11-14",18.2833333333333
"319","2018-11-15",19.6833333333333
"320","2018-11-16",17.2
"321","2018-11-17",17.3333333333333
"322","2018-11-18",16.1166666666667
"323","2018-11-19",17.8
"324","2018-11-20",18.3333333333333
"325","2018-11-21",17.6
"326","2018-11-22",14.65
"327","2018-11-23",14.3666666666667
"328","2018-11-24",15.5666666666667
"329","2018-11-25",16.1166666666667
"330","2018-11-26",17.3833333333333
"331","2018-11-27",17.4833333333333
"332","2018-11-28",17.3166666666667
"333","2018-11-29",18.3833333333333
"334","2018-11-30",18.1333333333333
"335","2018-12-01",17
"336","2018-12-02",16
"337","2018-12-03",17
"338","2018-12-04",17
"339","2018-12-05",18
"340","2018-12-06",18
"341","2018-12-07",18
"342","2018-12-08",18
"343","2018-12-09",16
"344","2018-12-10",15
"345","2018-12-14",15
"346","2018-12-15",19
"347","2018-12-18",20
"348","2018-12-20",23
"349","2018-12-21",15
"350","2018-12-23",14
